user_id,item_id,rating,timestamp,ip_address,geo_country,geo_city,review_text,is_fake
U0180,ITEM_034,3,2025-01-01T04:00:00,91.203.17.119,Germany,Berlin,,0
U0212,ITEM_028,5,2025-01-01T10:25:00,95.84.10.132,Russia,Samara,Everything worked as expected and the experience was smooth.,0
U0169,ITEM_027,3,2025-01-01T15:37:00,77.105.10.17,Serbia,Belgrade,,0
U0110,ITEM_022,5,2025-01-01T17:02:00,178.88.120.233,Kazakhstan,Almaty,The service was reliable and easy to use.,0
U0063,ITEM_033,4,2025-01-01T18:09:00,88.198.11.246,Germany,Berlin,I am satisfied with the quality and response time.,0
U0185,ITEM_012,4,2025-01-01T19:00:00,176.236.10.112,Turkey,Ankara,,0
U0164,ITEM_004,4,2025-01-01T22:23:00,87.255.201.16,Kazakhstan,Almaty,,0
U0042,ITEM_019,3,2025-01-02T02:19:00,109.245.44.6,Serbia,Belgrade,The app synced my order history correctly and the confirmation email arrived instantly.,0
U0158,ITEM_061,4,2025-01-02T19:22:00,87.255.201.87,Kazakhstan,Almaty,"The checkout flow was clear, and delivery status updates were accurate.",0
U0118,ITEM_048,4,2025-01-02T19:30:00,77.105.10.94,Serbia,Novi Sad,The app synced my order history correctly and the confirmation email arrived instantly.,0
U0223,ITEM_051,4,2025-01-02T19:45:00,87.255.201.229,Kazakhstan,Astana,"Good overall experience, I would use it again.",0
U0065,ITEM_003,4,2025-01-02T21:52:00,95.84.11.181,Russia,Moscow,"Support replied within an hour, and the issue was fixed without extra steps.",0
U0169,ITEM_018,5,2025-01-03T01:16:00,95.84.11.203,Russia,Moscow,"The checkout flow was clear, and delivery status updates were accurate.",0
U0132,ITEM_004,4,2025-01-03T02:39:00,78.189.55.220,Turkey,Izmir,"Good overall experience, I would use it again.",0
U0028,ITEM_065,5,2025-01-03T03:34:00,185.100.65.112,Kazakhstan,Almaty,Everything worked as expected and the experience was smooth.,0
U0097,ITEM_042,4,2025-01-03T06:46:00,46.4.71.60,Germany,Berlin,I am satisfied with the quality and response time.,0
U0154,ITEM_012,3,2025-01-03T08:07:00,88.255.90.71,Turkey,Ankara,The app synced my order history correctly and the confirmation email arrived instantly.,0
U0040,ITEM_009,4,2025-01-03T12:21:00,91.203.17.2,Germany,Hamburg,"Good overall experience, I would use it again.",0
U0035,ITEM_067,3,2025-01-03T18:43:00,178.88.120.113,Kazakhstan,Almaty,"Lowkey good service, especially the response time and the clean interface.",0
U0011,ITEM_054,5,2025-01-03T20:16:00,78.189.55.140,Turkey,Ankara,The order was processed quickly and correctly.,0
U0038,ITEM_060,5,2025-01-03T20:42:00,87.255.201.202,Kazakhstan,Almaty,The service was reliable and easy to use.,0
U0136,ITEM_024,4,2025-01-03T21:52:00,176.236.10.165,Turkey,Izmir,,0
U0129,ITEM_007,4,2025-01-04T09:26:00,109.245.44.114,Serbia,Belgrade,The app synced my order history correctly and the confirmation email arrived instantly.,0
