review_text,rating,label
"I used this power bank for two weeks. Battery life is acceptable, but charging could be faster. Overall I would recommend it if the price is reasonable.",4.0,0
"After several deliveries, this gaming headset still works fine. The material looks durable and the buttons respond well. So far the experience is positive and I would buy it again.",4.0,0
"Best purchase ever!!! This vacuum cleaner is incredible. Terrible terrible terrible, do not ask questions. Use my recommendation and do not hesitate!!!",5.0,1
"Perfect product 100% recommended!!! This power bank is incredible. No details needed, just trust me and order it. I did not even try it long but it is perfect!!!",1.0,1
"This phone case matched the description pretty well. The material looks durable and the buttons respond well. It is not perfect, but it solves the task I bought it for.",4.0,0
I used this vacuum cleaner for two weeks. The material looks durable and the buttons respond well. Overall I would recommend it if the price is reasonable.,4.0,0
Best purchase ever!!! This LED desk lamp is incredible. Everyone must buy this right now. Use my recommendation and do not hesitate!!!,5.0,1
Absolutely amazing!!! This kitchen blender is incredible. Five stars five stars five stars!!! Use my recommendation and do not hesitate!!!,1.0,1
Worst scam ever avoid this now!!! This power bank is incredible. This changed my life instantly and forever. I did not even try it long but it is perfect!!!,1.0,1
"I used this coffee machine for two weeks. The sound is clear, though the bass is not very strong. So far the experience is positive and I would buy it again.",5.0,0
"Bought this vacuum cleaner for daily home use. The sound is clear, though the bass is not very strong. Overall I would recommend it if the price is reasonable.",4.0,0
"Unbelievable quality buy immediately!!! This gaming headset is incredible. Terrible terrible terrible, do not ask questions. I did not even try it long but it is perfect!!!",1.0,1
Unbelievable quality buy immediately!!! This phone case is incredible. This changed my life instantly and forever. Totally the best product online!!!,1.0,1
"Unbelievable quality buy immediately!!! This power bank is incredible. No details needed, just trust me and order it. Buy now and thank me later!!!",5.0,1
"I tested this LED desk lamp during normal office work. Battery life is acceptable, but charging could be faster. It feels like a realistic 4-star product.",4.0,0
Unbelievable quality buy immediately!!! This phone case is incredible. Everyone must buy this right now. This is the only review you need!!!,5.0,1
This wireless mouse matched the description pretty well. Packaging was standard and the instructions were easy to follow. It feels like a realistic 4-star product.,5.0,0
This coffee machine matched the description pretty well. Packaging was standard and the instructions were easy to follow. It feels like a realistic 4-star product.,5.0,0
"I tested this vacuum cleaner during normal office work. The sound is clear, though the bass is not very strong. So far the experience is positive and I would buy it again.",4.0,0
Perfect product 100% recommended!!! This gaming headset is incredible. Five stars five stars five stars!!! Use my recommendation and do not hesitate!!!,5.0,1
"After several deliveries, this phone case still works fine. Packaging was standard and the instructions were easy to follow. It is not perfect, but it solves the task I bought it for.",4.0,0
